species	ANI
Mycolicibacterium mageritense	99.57
Chryseobacterium oranimense	98.13
Photobacterium kishitanii	98.83
Mycolicibacterium cosmeticum	100.00
Stenotrophomonas indicatrix	97.79
Mycobacterium asiaticum	99.25
Hoylesella shahii	98.51
Bacteroides faecichinchillae	99.74
Bacteroides stercorirosoris	98.79
Prevotella fusca	99.98
Prevotella scopos	99.99
Porphyromonas cangingivalis	99.14
Lactobacillus gallinarum	98.69
Prolixibacter bellariivorans	99.99
Shewanella algae	98.33
Shewanella putrefaciens	99.57
Lacticaseibacillus casei	99.94
Lactobacillus kitasatonis	98.47
Lactobacillus hamsteri	99.98
Porphyromonas bennonis	98.07
Companilactobacillus paralimentarius	99.97
Latilactobacillus fuchuensis	99.32
Ligilactobacillus hayakitensis	99.95
Ligilactobacillus apodemi	99.85
Companilactobacillus nodensis	99.99
Acidomonas methanolica	99.39
Zymobacter palmae	99.98
Salinispora tropica	99.55
Exiguobacterium undae	98.79
Conchiformibius steedae	99.11
Campylobacter cuniculorum	99.57
Pseudomonas mosselii	99.03
Pseudomonas fulva	99.38
Legionella geestiana	99.91
Legionella cherrii	99.91
Butyrivibrio proteoclasticus	96.71
Legionella fairfieldensis	99.98
Legionella sainthelensi	98.20
Prevotella brevis	97.40
Kandleria vitulina	99.26
Paracoccus yeei	98.82
Mesomycoplasma molare	99.98
Legionella lansingensis	99.98
Roseomonas mucosa	99.62
Sulfitobacter geojensis	96.59
Sulfitobacter mediterraneus	94.96
Sulfitobacter noctilucicola	100.00
Sulfitobacter donghicola	99.99
Sulfitobacter guttiformis	100.00
Draconibacterium orientale	99.99
Pseudomonas composti	97.85
Microbacterium oleivorans	99.15
Sphingobium herbicidovorans	100.00
Halopseudomonas bauzanensis	99.22
Clostridium scatologenes	99.53
Ehrlichia chaffeensis	99.63
Clostridium drakei	99.99
Rhodomicrobium udaipurense	99.99
Sulfitobacter pontiacus	97.47
Sporolactobacillus terrae	99.11
Clostridium tetanomorphum	99.89
Raoultella planticola	99.42
Rubrobacter radiotolerans	99.99
Brucella inopinata	98.00
Paraburkholderia fungorum	98.98
Psychrobacter phenylpyruvicus	100.00
Entomoplasma melaleucae	100.00
Mycoplasmoides pirum	99.95
Methylobacter tundripaludum	96.30
Mesoplasma syrphidae	99.99
Sphingobacterium thalpophilum	99.61
Aeromonas enteropelogenes	97.64
Bifidobacterium boum	98.73
Bifidobacterium ruminantium	98.85
Mycoplasmopsis glycophila	99.99
Clostridioides mangenotii	97.40
Pseudooceanicola nanhaiensis	100.00
Lonsdalea quercina	99.94
Sphaerotilus natans	99.99
Mycobacterium triplex	100.00
Bartonella tribocorum	99.88
Metamycoplasma hyosynoviae	98.03
Mycolicibacterium neoaurum	99.32
Bdellovibrio bacteriovorus	98.88
Photobacterium galatheae	100.00
Snodgrassella communis	97.29
Agrobacterium rhizogenes	99.26
Hydrogenovibrio marinus	100.00
Pseudomonas donghuensis	99.40
Rickettsia tamurae	98.26
Streptomyces leeuwenhoekii	99.85
Staphylococcus chromogenes	98.90
Kozakia baliensis	99.13
Caballeronia grimmiae	99.06
Caballeronia glathei	99.99
Aeromonas taiwanensis	98.27
Peptoclostridium litorale	99.99
Streptomyces xinghaiensis	96.24
Komagataeibacter rhaeticus	99.44
Legionella wadsworthii	99.99
Paraoerskovia marina	98.32
Mycoplasmopsis columboralis	99.97
Selenomonas bovis	97.68
Succinivibrio dextrinosolvens	96.81
Corynebacterium vitaeruminis	98.91
Exiguobacterium chiriqhucha	97.49
Exiguobacterium aurantiacum	100.00
Metamycoplasma cloacale	100.00
Acholeplasma hippikon	100.00
Metamycoplasma anseris	100.00
Clostridium algidicarnis	98.05
Campylobacter mucosalis	98.19
Campylobacter hyointestinalis	98.78
Geobacillus stearothermophilus	98.79
Burkholderia seminalis	99.06
Sinorhizobium americanum	98.83
Alkalihalobacillus lehensis	99.56
Bifidobacterium indicum	98.13
Aeromonas jandaei	97.03
Schinkia azotoformans	97.24
Carnobacterium jeotgali	99.98
Metabacillus indicus	97.68
Virgibacillus alimentarius	99.71
Delftia tsuruhatensis	98.78
Vibrio rhizosphaerae	99.99
[Clostridium] aminophilum	99.99
Photorhabdus australis	97.58
Synergistes jonesii	99.34
Pseudosulfitobacter pseudonitzschiae	97.91
Bacillus gaemokensis	99.98
Shewanella xiamenensis	97.43
Erythrobacter litoralis	99.99
Thioclava dalianensis	99.99
Streptomyces cinnabarinus	99.81
Streptomyces californicus	99.98
Streptomyces decoyicus	99.94
Kutzneria albida	99.98
Goodfellowiella coeruleoviolacea	99.86
Streptomyces monomycini	99.95
Umezawaea tangerina	99.82
Saccharopolyspora phatthalungensis	99.96
Dactylosporangium aurantiacum	99.98
Actinoalloteichus caeruleus	99.44
Streptomyces resistomycificus	99.95
Kitasatospora purpeofusca	99.95
Streptomyces bikiniensis	99.97
Actinosynnema pretiosum	99.99
Saccharothrix syringae	99.99
Kitasatospora aureofaciens	99.46
Streptomyces anulatus	97.43
Catenuloplanes japonicus	99.75
Kibdelosporangium aridum	98.57
Streptomyces lydicus	99.85
Nocardia carnea	100.00
Mycetocola saprophilus	99.99
Streptomyces scopuliridis	99.99
Streptomyces exfoliatus	99.98
Streptomyces griseofuscus	99.32
Oerskovia turbata	99.99
Microbispora rosea	99.71
Streptomyces varsoviensis	99.93
Kineosporia aurantiaca	99.61
Lentzea albidocapillata	98.95
Lentzea aerocolonigenes	100.00
Prauserella rugosa	100.00
Nocardia rhamnosiphila	100.00
Streptomyces virginiae	96.55
Streptomyces albus	99.57
Allokutzneria albata	99.99
Actinocatenispora sera	99.99
Streptomyces olivaceus	98.84
Streptomyces hygroscopicus	98.09
Streptomyces durhamensis	99.87
Endozoicomonas montiporae	99.97
Sphingobium chlorophenolicum	100.00
Pedobacter antarcticus	99.68
Janthinobacterium agaricidamnosum	99.99
Hydrogenophaga intermedia	100.00
Vibrio nigripulchritudo	97.08
Halobacillus karajensis	99.55
Parasaccharibacter apium	99.64
Virgibacillus massiliensis	99.94
Haloferax prahovense	99.48
Rossellomorea vietnamensis	97.26
Asaia bogorensis	99.11
Lysinibacillus fusiformis	98.42
Xanthomonas axonopodis	99.04
Gilliamella apis	98.44
Terribacillus goriensis	98.24
Dermacoccus nishinomiyaensis	98.91
Streptomyces xanthophaeus	99.44
Streptomyces aureocirculatus	99.97
Kaistella antarctica	100.00
Photobacterium sanctipauli	100.00
Pseudomonas japonica	100.00
Pseudomonas oryzihabitans	98.33
Citrobacter amalonaticus	99.21
Pseudomonas capeferrum	99.85
Nonlabens ulvanivorans	96.51
Kineothrix alysoides	100.00
Mangrovimonas yunxiaonensis	100.00
Thermodesulfobacterium commune	99.10
Archaeoglobus fulgidus	99.48
Serratia grimesii	99.37
Epilithonimonas lactis	99.99
Ewingella americana	98.18
Buttiauxella agrestis	96.78
Leclercia adecarboxylata	98.87
Flavobacterium gilvum	99.99
Schleiferia thermophila	99.49
Xenorhabdus bovienii	98.08
Staphylococcus agnetis	98.36
Pseudomonas congelans	98.63
Chryseobacterium formosense	100.00
Flavobacterium reichenbachii	99.98
Flavobacterium hydatis	99.98
Chryseobacterium piperi	100.00
Bifidobacterium bombi	99.98
Bifidobacterium coryneforme	98.65
Buttiauxella noackiae	98.47
Serratia nematodiphila	99.78
Streptomyces mutabilis	97.66
Corynebacterium imitans	98.55
Borreliella valaisiana	99.38
Paraburkholderia terrae	98.94
Sphingomonas paucimobilis	99.87
Paenibacillus chitinolyticus	99.99
Agrobacterium rubi	97.00
Secundilactobacillus oryzae	99.87
Haematobacter missouriensis	99.92
Bifidobacterium actinocoloniiforme	99.99
Bifidobacterium biavatii	99.99
Bifidobacterium callitrichos	98.29
Bifidobacterium pullorum	98.14
Bifidobacterium mongoliense	99.67
Bifidobacterium scardovii	99.66
Bifidobacterium bohemicum	99.99
Bifidobacterium cuniculi	99.97
Bifidobacterium merycicum	99.77
Bifidobacterium reuteri	99.19
Bifidobacterium psychraerophilum	99.30
Bifidobacterium saguini	100.00
Acetobacter malorum	97.45
Basilea psittacipulmonis	100.00
Thermus tengchongensis	97.86
Carnobacterium divergens	99.18
Streptacidiphilus albus	100.00
Thermus caliditerrae	96.55
Methanobacterium veterum	99.99
Pseudobacteroides cellulosolvens	99.99
Ferrimicrobium acidiphilum	99.20
Alysiella crassa	99.99
Paenibacillus macerans	99.19
Bacillus clarus	99.99
Aeromonas bestiarum	97.43
Tetragenococcus muriaticus	99.07
Amycolatopsis lurida	100.00
Pectobacterium parvum	99.51
Pectobacterium betavasculorum	99.44
Cellulophaga lytica	99.22
Yersinia rochesterensis	99.30
Thermotoga neapolitana	99.97
Staphylococcus schweitzeri	99.16
Bacillus andreraoultii	100.00
Pseudidiomarina salinarum	100.00
Pectobacterium odoriferum	98.90
Proteus vulgaris	99.79
Treponema putidum	98.97
Halapricum salinum	100.00
Nonlabens tegetincola	97.74
Photobacterium aphoticum	99.30
Arthrobacter alpinus	97.02
Ornithobacterium rhinotracheale	99.50
Legionella massiliensis	100.00
Flavobacterium aquatile	100.00
Pluralibacter gergoviae	99.08
Dickeya fangzhongdai	98.90
Anaerococcus lactolyticus	97.51
Corynebacterium freneyi	98.81
Corynebacterium tuscaniense	98.06
Veillonella montpellierensis	97.36
Mycobacterium kyorinense	99.96
Demequina mangrovi	100.00
Citrobacter werkmanii	96.98
Pseudescherichia vulneris	98.87
Rhodococcus fascians	97.74
Caloranaerobacter azorensis	98.50
Oleiagrimonas soli	100.00
Methanobacterium formicicum	98.76
Mycobacterium rufum	99.93
Actinopolyspora erythraea	99.99
Paracoccus sanguinis	97.10
Paracoccus versutus	99.02
Paracoccus halophilus	100.00
Cryobacterium roopkundense	99.99
Vibrio navarrensis	98.18
Citrobacter farmeri	97.93
Algibacter lectus	98.88
Jejuia pallidilutea	98.52
Thalassobacter stenotrophicus	98.50
Intestinimonas butyriciproducens	99.13
Methanococcoides methylutens	99.99
Helicobacter muridarum	99.98
Helicobacter trogontum	97.99
Porphyromonas gulae	98.30
Listeria newyorkensis	99.27
Listeria booriae	97.41
Corynebacterium camporealensis	99.96
Cellulomonas cellasea	99.99
Methylophaga thiooxydans	96.72
Cellulomonas carbonis	99.99
Actinotalea fermentans	99.83
Neobacillus niacini	99.98
Knoellia flava	100.00
Porphyromonas gingivicanis	99.01
Dokdonia donghaensis	100.00
Streptococcus phocae	97.76
Ureibacillus manganicus	100.00
Ureibacillus sinduriensis	100.00
Ureibacillus massiliensis	100.00
Lysinibacillus odysseyi	99.80
Caballeronia zhejiangensis	99.54
Pseudomonas mediterranea	99.53
Janthinobacterium lividum	98.46
Achromobacter insolitus	99.40
Halopiger salifodinae	100.00
Priestia aryabhattai	96.72
Paraburkholderia sacchari	98.77
Pimelobacter simplex	99.52
Actinoplanes utahensis	99.99
Citrobacter braakii	98.98
Streptacidiphilus jiangxiensis	100.00
Clostridium baratii	98.02
Deinococcus radiopugnans	99.25
Actinobacillus equuli	98.72
Pseudomonas lurida	99.32
Mumia flava	100.00
Pseudomonas flexibilis	99.30
Anaerovibrio lipolyticus	97.66
Coprobacter secundus	97.91
Mycolicibacterium setense	99.48
Corynebacterium minutissimum	99.32
Tepidimonas taiwanensis	99.06
Frischella perrara	98.74
Escherichia marmotae	99.35
Mameliella alba	98.86
Pandoraea fibrosis	99.47
Hafnia paralvei	99.30
Novosphingobium subterraneum	100.00
Nocardia vulneris	100.00
Bacillus thermotolerans	99.65
Chromobacterium subtsugae	99.22
Myroides marinus	97.80
Kaistella jeonii	100.00
Thermofilum adornatum	98.77
Morococcus cerebrosus	97.53
Pandoraea sputorum	99.26
Pandoraea pulmonicola	100.00
Halomonas caseinilytica	99.44
Staphylococcus hyicus	98.93
Campylobacter insulaenigrae	99.09
Campylobacter subantarcticus	99.15
Campylobacter volucris	98.58
Streptomyces pluripotens	100.00
Komagataeibacter intermedius	99.93
Azotobacter chroococcum	97.89
Stutzerimonas balearica	98.79
Vibrio hyugaensis	98.40
Corynebacterium humireducens	99.13
Streptomyces nodosus	100.00
Celeribacter indicus	100.00
Aeromonas encheleia	98.85
Salinicoccus roseus	97.50
Aeromonas schubertii	99.32
Aeromonas sobria	98.31
Aeromonas allosaccharophila	96.32
Geoalkalibacter ferrihydriticus	99.99
Neobacillus jeddahensis	100.00
Chromohalobacter japonicus	96.53
Pseudomonas rhodesiae	98.44
Collinsella bouchesdurhonensis	97.59
Citrobacter pasteurii	99.63
Phaeobacter piscinae	98.43
Pandoraea apista	99.35
Capnocytophaga cynodegmi	97.58
Capnocytophaga canis	98.35
Vibrio renipiscarius	99.99
Mycoplasmopsis californica	99.30
Paucilactobacillus hokkaidonensis	99.94
Bacillus badius	98.56
Vibrio ishigakensis	99.92
Dehalococcoides mccartyi	97.97
Companilactobacillus heilongjiangensis	100.00
Sanguibacteroides justesenii	99.22
Flavobacterium hibernum	100.00
Myroides profundi	99.98
Prevotella pectinovora	98.91
Yersinia rohdei	99.50
Corynebacterium marinum	99.46
Burkholderia plantarii	98.67
Kitasatospora griseola	97.80
Staphylococcus gallinarum	98.88
Micromonospora haikouensis	97.37
Jannaschia aquimarina	100.00
Mycolicibacterium llatzerense	97.80
Mycobacteroides immunogenum	99.82
Aneurinibacillus migulanus	99.65
Staphylococcus microti	99.99
Alteromonas australica	98.96
Halarcobacter anaerophilus	99.34
Pseudomonas meliae	99.91
Streptomyces iranensis	99.99
Bacteroides intestinalis	98.57
Photobacterium gaetbulicola	100.00
Mesomycoplasma dispar	99.43
Halomonas meridiana	98.41
Amycolatopsis orientalis	96.87
Pseudomonas saudimassiliensis	100.00
Clostridium aceticum	100.00
Photobacterium iliopiscarium	98.93
Photobacterium phosphoreum	98.64
Rouxiella chamberiensis	99.96
Acholeplasma oculi	99.98
Tatlockia micdadei	99.94
Legionella hackeliae	99.98
Ralstonia mannitolilytica	98.76
Caldicellulosiruptor naganoensis	99.99
Microbacterium foliorum	99.16
Enterobacter sichuanensis	98.77
Streptococcus gordonii	97.65
Gordonia sihwensis	99.34
Azospirillum thiophilum	100.00
Streptomyces rubellomurinus	99.14
Pediococcus damnosus	99.83
Tanticharoenia sakaeratensis	100.00
Acetobacter cibinongensis	99.28
Acetobacter indonesiensis	98.04
Acetobacter orientalis	98.63
Acetobacter orleanensis	100.00
Acetobacter syzygii	99.25
Raoultella terrigena	97.79
Acidocella aminolytica	99.99
Rickettsia hoogstraalii	99.14
Rickettsia rhipicephali	98.78
Levilactobacillus spicheri	98.91
Mycoplasmopsis gallinacea	96.54
Enterobacter chengduensis	99.95
Domibacillus enclensis	100.00
Teredinibacter purpureus	100.00
Mycobacterium lepromatosis	99.98
Pseudoalteromonas fuliginea	98.53
Pseudomonas marginalis	98.69
Xenorhabdus doucetiae	99.96
Pseudomonas synxantha	98.59
Pseudomonas ogarae	97.92
Pantoea anthophila	98.62
Mycoplasmopsis meleagridis	99.70
Methanosarcina thermophila	99.76
Methanosarcina barkeri	99.58
Methanosarcina siciliae	98.80
Methanosarcina horonobensis	99.73
Devosia limi	100.00
Lactobacillus apis	97.55
Mycobacterium nebraskense	99.80
Mycolicibacter arupensis	99.54
Devosia psychrophila	100.00
Chromobacterium vaccinii	98.20
Demequina maris	97.26
Demequina rhizosphaerae	98.00
Mycobacteroides chelonae	97.94
Corynebacterium argentoratense	98.61
Paenibacillus algorifonticola	99.99
Pseudomonas syringae pv. coryli	99.97
Cupriavidus pauculus	99.32
Mycobacterium celatum	99.99
Mycolicibacterium obuense	98.41
Demequina lutea	100.00
Serratia liquefaciens	98.93
Corynebacterium kutscheri	99.75
Obesumbacterium proteus	98.32
Christensenella hongkongensis	99.69
Staphylococcus pasteuri	99.08
Vibrio coralliirubri	96.73
Neorhizobium galegae	98.47
Pararheinheimera mesophila	99.98
Burkholderia contaminans	99.14
Serratia ureilytica	98.89
Kerstersia gyiorum	99.01
Corynebacterium xerosis	98.64
Myxococcus fulvus	99.45
Moraxella bovoculi	97.66
Jiangella alkaliphila	99.98
Mycolicibacterium elephantis	97.42
Salinicoccus halodurans	100.00
Silvibacterium bohemicum	100.00
Staphylococcus succinus	98.66
Microvirga massiliensis	100.00
Nitrosomonas communis	99.08
Streptomyces stelliscabiei	99.93
Croceibacterium atlanticum	100.00
Luteibacter rhizovicinus	99.98
Xanthomonas hyacinthi	99.93
Aurantiacibacter gangjinensis	100.00
Brevibacillus formosus	99.02
Mycobacterium senegalense	99.19
Aurantiacibacter marinus	100.00
Staphylococcus condimenti	99.81
Pandoraea thiooxydans	100.00
Delftia lacustris	98.45
Moellerella wisconsensis	97.84
Pseudomonas lundensis	98.41
Thioalkalivibrio versutus	97.33
Mycobacterium heraklionense	98.67
Pragia fontium	99.34
Archangium gephyra	99.99
Neisseria arctica	100.00
Tenacibaculum mesophilum	99.05
Limosilactobacillus panis	99.98
Pelagerythrobacter marensis	99.99
Burkholderia pyrrocinia	99.99
Croceicoccus naphthovorans	100.00
Spiroplasma eriocheiris	99.99
Photobacterium ganghwense	99.61
Niallia circulans	99.41
Pectobacterium peruviense	98.77
Lactobacillus acetotolerans	99.09
Bacillus glycinifermentans	97.94
Pseudomonas deceptionensis	100.00
Pseudomonas lini	99.53
Pseudomonas taetrolens	100.00
Pseudomonas weihenstephanensis	98.34
Pseudomonas helleri	97.60
Methylobacterium indicum	98.84
Methylobacterium platani	99.92
Corynebacterium renale	99.23
Mycolicibacterium chlorophenolicum	99.93
Mycolicibacterium chubuense	99.99
Chryseobacterium koreense	99.99
Megasphaera cerevisiae	99.73
Sphingobium cupriresistens	98.78
Marinovum algicola	99.22
Dysgonomonas macrotermitis	100.00
Rhodococcus rhodochrous	98.71
Fructobacillus pseudoficulneus	99.99
Vibrio crassostreae	97.78
Brenneria goodwinii	99.24
Mycolicibacterium aurum	99.99
Nereida ignava	100.00
Bellilinea caldifistulae	100.00
Levilinea saccharolytica	99.99
Leptolinea tardivitalis	100.00
Bacillus cytotoxicus	99.61
Levilactobacillus koreensis	99.94
Mycobacterium bohemicum	99.97
Acinetobacter seifertii	97.03
Moraxella canis	97.38
Mycobacterium heckeshornense	99.79
Photobacterium swingsii	99.99
Photorhabdus luminescens	98.35
Yersinia aleksiciae	99.38
Bacillus paranthracis	97.93
Yersinia thracica	99.64
Actinobaculum suis	98.09
Thermoactinomyces vulgaris	99.77
Brevibacillus reuszeri	93.77
Wenzhouxiangella marina	100.00
Octadecabacter temperatus	100.00
Lactiplantibacillus pentosus	98.27
Virgibacillus pantothenticus	99.57
Herbaspirillum chlorophenolicum	100.00
Haloferax gibbonsii	99.06
Jeotgalibaca dankookensis	99.79
Pseudorhodobacter antarcticus	99.99
Pseudorhodobacter ferrugineus	100.00
Staphylococcus borealis	99.40
Ligilactobacillus agilis	97.79
Mycolicibacterium neworleansense	99.97
Gallaecimonas pentaromativorans	98.74
Roseovarius tolerans	96.74
Phaeobacter italicus	98.75
Schaalia meyeri	99.67
Spiroplasma turonicum	100.00
Acetobacterium bakii	100.00
Corynebacterium riegelii	96.82
Clostridium homopropionicum	100.00
Thiopseudomonas alkaliphila	98.81
Erwinia iniecta	99.94
Roseivirga seohaensis	97.25
Pseudomonas thivervalensis	99.32
Pseudomonas fluorescens	99.84
Vibrio nereis	99.26
Francisella persica	99.99
Flavobacterium akiainvivens	99.99
Caballeronia cordobensis	99.97
Polaribacter dokdonensis	100.00
Photorhabdus heterorhabditis	98.42
Apilactobacillus kunkeei	97.80
Cupriavidus gilardii	99.23
Lawsonella clevelandensis	99.53
Acidovorax avenae	97.04
Helicobacter ailurogastricus	98.67
Ardenticatena maritima	99.90
Comamonas kerstersii	98.97
Idiomarina abyssalis	97.75
Idiomarina zobellii	100.00
Marinagarivorans algicola	99.33
Pseudoalteromonas undina	97.53
Acidovorax caeni	99.99
Achromobacter ruhlandii	98.55
Bordetella pseudohinzii	99.98
Achromobacter kerstersii	98.64
Achromobacter dolens	99.14
Achromobacter aegrifaciens	99.20
Serratia rubidaea	99.11
Neptunomonas antarctica	99.99
Halanaeroarchaeum sulfurireducens	99.90
Jiulongibacter sediminis	100.00
Aliiroseovarius crassostreae	97.22
Celeribacter marinus	100.00
Nocardia arizonensis	99.99
Stenotrophomonas pictorum	99.96
Diaphorobacter nitroreducens	98.39
Pseudovibrio denitrificans	99.97
Methylorubrum rhodinum	99.93
Methylorubrum thiocyanatum	99.97
Lacticaseibacillus sharpeae	99.95
Secundilactobacillus similis	99.91
Companilactobacillus kimchii	99.98
Fructilactobacillus lindneri	99.95
Secundilactobacillus paracollinoides	99.77
Lacticaseibacillus manihotivorans	99.87
Lacticaseibacillus pantheris	99.96
Lacticaseibacillus camelliae	99.87
Lactococcus fujiensis	99.80
Lacticaseibacillus nasuensis	98.62
Limosilactobacillus equigenerosi	99.96
Lentilactobacillus rapi	99.84
Holzapfeliella floricola	99.78
Apilactobacillus ozensis	99.32
Lysinibacillus parviboronicapiens	99.18
Amylolactobacillus amylophilus	99.95
Lentilactobacillus kefiri	99.88
Lacticaseibacillus saniviri	99.89
Calditerricola satsumensis	99.91
Methylomonas koyamae	98.50
Liquorilactobacillus satsumensis	99.46
Lentilactobacillus senioris	99.65
Thermodesulfovibrio aggregans	99.71
Methylobacterium phyllosphaerae	99.93
Methylogaea oryzae	99.89
Lacrimispora sphenoides	99.26
Veillonella denticariosi	98.73
Veillonella rogosae	98.88
Dysgonomonas hofstadii	99.54
Secundilactobacillus collinoides	99.84
Lacticaseibacillus thailandensis	99.89
Kosakonia cowanii	98.13
Secundilactobacillus odoratitofui	99.85
Secundilactobacillus kimchicus	99.70
Secundilactobacillus silagei	99.95
Algoriphagus boritolerans	99.74
Rhodococcus phenolicus	98.94
Nocardioides jensenii	99.81
Nocardioides nitrophenolicus	99.77
Rhodococcus koreensis	99.67
Rhodococcus zopfii	99.26
Nocardioides aromaticivorans	98.69
Gordonia westfalica	99.00
Mycobacterium hodleri	98.92
Janibacter terrae	98.99
Cellulomonas xylanilytica	99.82
Cellulomonas composti	99.81
Cellulomonas terrae	99.83
Mycobacterium pyrenivorans	98.61
Mycolicibacterium aromaticivorans	98.74
Mycobacterium crocinum	99.60
Mycobacterium pallens	98.83
Mycolicibacterium rutilum	98.82
Stenotrophomonas acidaminiphila	98.69
Saliniramus fredricksonii	100.00
Cellulomonas iranensis	98.15
Cellulomonas persica	98.88
Cellulomonas hominis	99.43
Cellulomonas denverensis	99.88
Streptomyces albofaciens	99.73
Streptomyces lucensis	99.71
Streptomyces misionensis	99.72
Streptomyces naganishii	99.72
Streptomyces anandii	99.52
Streptomyces chrestomyceticus	98.87
Streptomyces phaeofaciens	99.73
Kineosporia rhizophila	99.79
Metallosphaera hakonensis	99.90
Thermococcus celer	98.16
Thermococcus peptonophilus	98.93
Thermocladium modestius	98.22
Methanoculleus chikugoensis	98.23
Vulcanisaeta souniana	99.75
Sulfuracidifex metallicus	98.61
Sulfuracidifex tepidarius	99.85
Vulcanisaeta distributa	96.08
Natronolimnobius baerhuensis	99.90
Acidiplasma cupricumulans	99.70
Thalassobacillus devorans	100.00
Mycobacterium lentiflavum	99.34
Rhodococcus globerulus	98.91
Arthrobacter koreensis	98.98
Mycobacterium europaeum	98.22
Paenarthrobacter nitroguajacolicus	97.11
Acidiplasma aeolicum	99.73
Thiohalorhabdus denitrificans	100.00
Thermus aquaticus	98.26
Pseudomonas cannabina	99.68
Pseudomonas caricapapayae	99.81
Pseudomonas syringae group genomosp. 7	99.82
Blastochloris viridis	100.00
Mycolicibacterium peregrinum	97.66
Jannaschia rubra	99.61
Roseibium album	99.43
Mitsuokella jalaludinii	97.86
Sarcina ventriculi	99.24
Blautia hydrogenotrophica	99.81
Anaerobutyricum hallii	98.91
[Ruminococcus] torques	99.64
Roseburia inulinivorans	97.71
Roseburia faecis	98.58
Roseibium alexandrii	97.29
Roseburia hominis	98.22
Eubacterium ramulus	98.91
Lagierella massiliensis	100.00
Alloalcanivorax xenomutans	98.44
Nonomuraea pusilla	99.33
Chelatococcus sambhunathii	100.00
Anoxybacillus suryakundensis	100.00
Gulbenkiania indica	100.00
Streptomyces prasinus	98.21
Streptomyces hirsutus	98.10
Marinomonas fungiae	99.73
Pannonibacter indicus	99.91
Tepidiphilus thermophilus	99.58
Thiomonas bhubaneswarensis	100.00
Streptomyces aurantiacus	98.97
Pseudidiomarina woesei	100.00
Streptomyces alboniger	99.98
Streptomyces prasinopilosus	99.12
Streptomyces kanamyceticus	99.98
Streptomyces griseoruber	99.96
Streptomyces neyagawaensis	99.96
Apibacter mensalis	100.00
Thermococcus thioreducens	99.99
Streptomyces puniciscabiei	99.98
Rothia kristinae	99.02
Chryseobacterium aquaticum	96.77
Bosea thiooxidans	99.88
Cytobacillus solani	99.63
Margalitia shackletonii	100.00
Agarivorans gilvus	99.99
Lederbergia galactosidilytica	98.71
Salegentibacter mishustinae	98.38
Stenotrophomonas pavanii	98.91
Thermococcus barophilus	98.06
Alteromonas stellipolaris	98.74
Lentilactobacillus parakefiri	99.88
Liquorilactobacillus nagelii	98.95
Companilactobacillus crustorum	99.91
Companilactobacillus alimentarius	99.99
Liquorilactobacillus hordei	99.33
Companilactobacillus bobalius	99.86
Lactiplantibacillus argentoratensis	99.45
Lentilactobacillus parabuchneri	99.09
Ligilactobacillus aviarius	95.39
Levilactobacillus senmaizukei	99.99
Lactobacillus selangorensis	100.00
Weissella viridescens	97.97
Pediococcus ethanolidurans	98.33
Furfurilactobacillus siliginis	100.00
Pediococcus argentinicus	99.99
Pediococcus inopinatus	99.78
Bacillus dafuensis	99.89
Pseudomonas trivialis	99.99
Bradyrhizobium valentinum	99.51
Tsuneonella troitsensis	100.00
Roseovarius indicus	99.38
Lysobacter antibioticus	98.42
Pseudoalteromonas phenolica	94.45
Hoylesella enoeca	99.97
Pseudomonas citronellolis	98.26
Nitrosomonas ureae	98.94
Pseudoalteromonas issachenkonii	99.35
Mycobacteroides saopaulense	99.11
Exiguobacterium enclense	100.00
[Bacillus] enclensis	99.26
Microbacterium enclense	99.60
Pseudarthrobacter enclensis	100.00
Fictibacillus enclensis	100.00
Vitreoscilla massiliensis	100.00
Chthonomonas calidirosea	99.39
Shimia marina	100.00
Cognatishimia activa	99.98
Thalassobius autumnalis	99.95
Thalassobius gelatinovorus	100.00
Tropicibacter naphthalenivorans	99.99
Tritonibacter multivorans	100.00
Thalassobius mediterraneus	100.00
Clostridium neonatale	99.38
[Enterobacter] lignolyticus	99.06
Aureimonas altamirensis	98.84
Enterococcus silesiacus	99.99
Paenibacillus naphthalenovorans	99.59
Aerococcus christensenii	99.30
Legionella brunensis	99.97
Legionella bozemanae	99.62
Legionella adelaidensis	99.99
Legionella birminghamensis	99.97
Legionella worsleiensis	99.99
Legionella cincinnatiensis	99.99
Legionella drozanskii	99.96
Legionella erythra	99.98
Legionella feeleii	99.69
Fluoribacter gormanii	99.77
Legionella gratiana	100.00
Legionella jamestowniensis	99.81
Legionella jordanis	99.87
Legionella israelensis	99.59
Legionella londiniensis	100.00
Legionella maceachernii	99.99
Legionella nautarum	99.98
Legionella parisiensis	99.99
Legionella quateirensis	99.97
Legionella quinlivanii	99.88
Legionella tucsonensis	100.00
Legionella steigerwaltii	100.00
Legionella waltersii	99.99
Legionella rubrilucens	100.00
Legionella santicrucis	99.99
Legionella spiritensis	99.62
Exiguobacterium indicum	98.10
Curtobacterium citreum	99.37
Microbacterium oxydans	99.31
Ruthenibacterium lactatiformans	99.16
Nocardia jinanensis	99.97
Elizabethkingia miricola	97.75
Nesterenkonia jeotgali	98.64
Roseateles depolymerans	100.00
Campylobacter iguaniorum	98.72
Gordonia desulfuricans	100.00
Fournierella massiliensis	99.08
Enterococcus thailandicus	99.23
Acetobacter senegalensis	97.60
Acetobacter ghanensis	99.99
Mycolicibacterium novocastrense	98.75
Mycobacterium lehmannii	98.16
