species	ANI
Acidithiobacillus ferrooxidans	99.18
Aliivibrio fischeri	97.41
Desulfurococcus amylolyticus	98.46
Laribacter hongkongensis	98.22
Azotobacter vinelandii	99.90
Ureaplasma urealyticum	99.42
Thermosipho africanus	98.57
Gluconacetobacter diazotrophicus	99.39
Afipia carboxidovorans	99.99
Bifidobacterium animalis	99.81
Rhodobacter capsulatus	95.18
Glaesserella parasuis	98.18
Desulfatibacillum aliphaticivorans	97.50
Pseudarthrobacter chlorophenolicus	97.70
Brachyspira hyodysenteriae	98.82
Sulfolobus islandicus	98.89
Burkholderia glumae	99.78
Bartonella grahamii	99.64
Rickettsia prowazekii	99.94
Edwardsiella ictaluri	99.81
Corynebacterium aurimucosum	99.17
Aggregatibacter aphrophilus	97.47
Lactiplantibacillus plantarum	99.26
Corynebacterium kroppenstedtii	99.41
Micrococcus luteus	97.42
Capnocytophaga ochracea	96.93
Musicola paradisiaca	99.99
Dickeya chrysanthemi	97.55
Methylovorus glucosotrophus	97.29
Candidatus Liberibacter asiaticus	99.88
Pedobacter heparinus	100.00
Saccharomonospora viridis	99.62
Slackia heliotrinireducens	100.00
Kytococcus sedentarius	99.25
Jonesia denitrificans	100.00
Anaerococcus prevotii	99.18
Eggerthella lenta	98.61
Sebaldella termitidis	100.00
Meiothermus ruber	99.24
Bifidobacterium dentium	99.15
Pectobacterium parmentieri	99.24
Fibrobacter succinogenes	99.99
Halothiobacillus neapolitanus	98.89
Gordonia bronchialis	99.42
Vibrio antiquarius	99.99
Veillonella parvula	96.75
Dickeya parazeae	98.67
Staphylococcus lugdunensis	99.55
Mycoplasmoides gallisepticum	98.44
Pantoea ananatis	98.72
Enterobacter cloacae	98.99
Natrialba magadii	99.97
Haloferax volcanii	99.69
Priestia megaterium	97.39
Prevotella ruminicola	98.50
Ehrlichia ruminantium	96.57
Chlamydia abortus	99.83
Latilactobacillus sakei	98.81
Pseudoalteromonas translucida	96.63
Escherichia fergusonii	98.89
Leuconostoc citreum	99.31
Citrobacter rodentium	100.00
Streptococcus gallolyticus	98.24
Erwinia amylovora	99.85
Erwinia pyrifoliae	99.72
Mycoplasmoides genitalium	99.72
Mycoplasmoides pneumoniae	99.84
Bartonella henselae	99.53
Acinetobacter baylyi	99.87
Listeria welshimeri	99.19
Gramella forsetii	100.00
Azoarcus olearius	98.85
Saccharopolyspora erythraea	99.99
Clavibacter michiganensis	99.47
Flavobacterium psychrophilum	99.46
Mycobacteroides abscessus	99.35
Corynebacterium urealyticum	98.66
Proteus mirabilis	99.19
Bordetella avium	99.85
Stenotrophomonas maltophilia	97.99
Xanthomonas albilineans	98.53
Mycoplasmopsis agalactiae	97.22
Salinibacter ruber	98.51
Sphingobium indicum	99.01
Vibrio atlanticus	97.79
Propionibacterium freudenreichii	98.95
Lactobacillus crispatus	97.77
Legionella longbeachae	99.87
Helicobacter mustelae	99.68
Tsukamurella paurometabola	100.00
Moraxella catarrhalis	99.20
Caulobacter segnis	99.99
Arcanobacterium haemolyticum	99.59
Shigella sonnei	99.93
Waddlia chondrophila	99.84
Paraburkholderia atlantica	98.89
Nocardiopsis dassonvillei	98.72
Comamonas thiooxydans	97.85
Prevotella oris	98.54
Herbaspirillum seropedicae	99.49
Rothia dentocariosa	96.82
Lactobacillus paragasseri	98.78
Clostridium ljungdahlii	100.00
Corynebacterium pseudotuberculosis	99.41
Brachyspira pilosicoli	98.56
Sphingobacterium spiritivorum	99.58
Chryseobacterium gleum	98.67
Corynebacterium genitalium	99.12
Olsenella uli	99.44
Cutibacterium modestum	99.91
Prevotella melaninogenica	96.90
Micromonospora aurantiaca	98.88
Methanothermobacter marburgensis	99.99
Pseudomonas amygdali	98.37
Mesomycoplasma hyorhinis	99.53
Pseudomonas syringae	98.66
Shewanella oneidensis	100.00
Aggregatibacter actinomycetemcomitans	98.33
Mobiluncus curtisii	98.67
Pediococcus acidilactici	98.05
Corynebacterium accolens	97.70
Bacillus spizizenii	96.78
Hoylesella marshii	99.50
Campylobacter coli	98.44
Mobiluncus mulieris	98.90
Dickeya dadantii	98.27
Enterococcus faecium	99.57
Streptomyces clavuligerus	99.98
Streptococcus mitis	94.84
Streptococcus oralis	95.13
Mycoplasmopsis fermentans	99.52
Pantoea vagans	97.20
Listeria grayi	99.34
Lactobacillus iners	98.83
Methanobrevibacter smithii	98.48
Eubacterium callanderi	99.09
Burkholderia dolosa	99.67
Vibrio splendidus	96.58
Maritimibacter alkaliphilus	100.00
Pseudoalteromonas tunicata	99.99
Photobacterium angustum	97.96
Aurantimonas manganoxydans	100.00
Vibrio alginolyticus	98.59
Candidatus Pelagibacter ubique	96.99
Bermanella marisrubri	100.00
Paenibacillus larvae	99.54
Fusobacterium nucleatum	97.26
Mannheimia haemolytica	99.21
Fulvimarina pelagi	100.00
Eubacterium ventriosum	98.80
Blautia obeum	98.46
Vibrio parahaemolyticus	98.51
Dorea longicatena	98.81
Parabacteroides merdae	99.08
Bacteroides ovatus	97.59
Bacteroides uniformis	98.58
Anaerostipes caccae	98.82
Enterocloster bolteae	98.71
Faecalibacterium prausnitzii	96.75
Parvimonas micra	97.74
Coprococcus eutactus	98.94
Intestinibacter bartlettii	99.07
Thomasclavelia ramosa	99.84
[Clostridium] scindens	99.69
Bacteroides stercoris	98.64
Anaerotruncus colihominis	99.19
Phaeobacter inhibens	97.61
Thomasclavelia spiroformis	97.76
Streptococcus infantarius	98.73
Escherichia albertii	98.73
[Ruminococcus] lactaris	99.19
Bifidobacterium bifidum	99.15
Helicobacter canadensis	99.99
Helicobacter cinaedi	99.38
Helicobacter pullorum	98.30
Nitrosococcus oceani	99.54
Bacteroides eggerthii	99.17
Proteus penneri	99.58
Coprococcus comes	98.75
Lactobacillus jensenii	99.91
Enterobacter cancerogenus	99.01
Butyrivibrio crossotus	98.78
Peptacetobacter hiranonis	98.96
Phocaeicola dorei	99.34
Sulfurimonas gotlandica	100.00
Collinsella stercoris	97.76
Providencia rustigianii	99.55
Streptomyces viridosporus	97.56
Streptomyces albidoflavus	98.61
Parabacteroides johnsonii	99.14
[Clostridium] hylemonae	99.29
Roseburia intestinalis	98.81
Corynebacterium glucuronolyticum	99.14
Bifidobacterium angulatum	99.09
Blautia hansenii	99.66
Francisella philomiragia	97.87
Pseudomonas coronafaciens	99.23
Enterococcus casseliflavus	98.48
Enterococcus gallinarum	97.83
Brucella ceti	99.89
Phocaeicola coprophilus	99.34
Prevotella copri	97.06
Subdoligranulum variabile	100.00
Bifidobacterium breve	98.68
Enterocloster asparagiformis	99.50
Fusobacterium gonidiaformans	99.12
Fusobacterium necrophorum	98.86
Fusobacterium ulcerans	99.22
Citrobacter portucalensis	98.43
Helicobacter bilis	98.12
Oxalobacter formigenes	99.76
Eikenella corrodens	97.59
Corynebacterium matruchotii	98.60
Brucella neotomae	99.98
Corynebacterium striatum	98.29
Gardnerella vaginalis	98.46
Lentilactobacillus hilgardii	98.58
Fannyhessea vaginae	98.01
Ligilactobacillus ruminis	97.61
Lactobacillus ultunensis	99.98
Limosilactobacillus vaginalis	99.07
Xanthomonas vasicola	99.67
Fusobacterium varium	99.20
Veillonella dispar	100.00
Abiotrophia defectiva	100.00
Hungatella hathewayi	99.33
Staphylococcus caprae	98.76
Kingella oralis	100.00
Selenomonas sputigena	99.03
Cardiobacterium hominis	97.83
Granulicatella adiacens	97.50
Erysipelothrix rhusiopathiae	99.33
Limosilactobacillus antri	99.06
Bacillus wiedmannii	96.72
Bacillus pseudomycoides	98.08
Bacillus thuringiensis	98.44
Jonquetella anthropi	99.61
Faecalibacterium duncaniae	98.83
Acinetobacter calcoaceticus	97.41
Acinetobacter johnsonii	96.82
Acinetobacter junii	98.23
Acinetobacter lwoffii	96.66
Acinetobacter radioresistens	98.67
Prevotella buccae	98.57
Slackia exigua	98.73
Prevotella veroralis	98.19
Leptotrichia hofstadii	98.91
Anaerococcus vaginalis	97.72
Pasteurella dagmatis	100.00
Serratia odorifera	99.92
Scardovia inopinata	99.36
Simonsiella muelleri	99.14
Parascardovia denticolens	99.43
Clostridium carboxidivorans	99.98
Edwardsiella tarda	99.35
Achromobacter piechaudii	99.33
Acinetobacter haemolyticus	98.13
Corynebacterium ammoniagenes	99.67
Prescottella equi	99.02
Novacetimonas hansenii	99.27
Streptococcus parasanguinis	96.99
Ralstonia pickettii	97.76
Leuconostoc fallax	99.67
Bacillus atrophaeus	98.88
Caldicellulosiruptor acetigenus	98.95
Leuconostoc gelidum	99.01
Loigolactobacillus coryniformis	99.22
Rickettsia sibirica	99.54
Brevibacterium aurantiacum	97.98
Ralstonia solanacearum	96.61
Yersinia bercovieri	99.48
Yersinia mollaretii	97.63
Yersinia frederiksenii	99.50
Yersinia intermedia	99.09
Bacteroides caccae	99.49
Collinsella aerofaciens	94.43
Dorea formicigenerans	98.35
[Ruminococcus] gnavus	98.96
Burkholderia ubonensis	96.84
Burkholderia oklahomensis	99.74
Caminibacter mediatlanticus	98.75
Clostridium butyricum	98.91
Gemmata obscuriglobus	100.00
Sulfitobacter indolifex	99.99
Mycobacterium intracellulare	99.42
Verrucomicrobium spinosum	99.88
Borreliella garinii	98.97
Paraburkholderia graminis	99.48
Rhizobium phaseoli	97.37
Bacillus pumilus	97.98
Halogeometricum borinquense	98.76
Chthoniobacter flavus	99.97
Pectobacterium brasiliense	96.72
Pectobacterium carotovorum	97.72
Bifidobacterium gallicum	99.99
Providencia alcalifaciens	99.12
Bifidobacterium pseudocatenulatum	98.18
Bifidobacterium catenulatum	98.19
Corynebacterium amycolatum	96.16
Capnocytophaga sputigena	97.15
Yersinia kristensenii	98.27
Yersinia aldovae	99.08
Yersinia ruckeri	99.79
Catenibacterium mitsuokai	97.46
Marvinbryantia formatexigens	99.99
Neisseria cinerea	98.38
Gemella haemolysans	99.98
Neisseria flavescens	99.99
Neisseria lactamica	97.50
Lancefieldella rimae	99.05
Staphylococcus capitis	99.12
Campylobacter rectus	98.63
Acidaminococcus intestini	99.70
Neisseria sicca	99.98
Streptococcus salivarius	96.63
Staphylococcus hominis	99.10
Porphyromonas endodontalis	98.53
Acidithiobacillus caldus	99.33
Corynebacterium tuberculostearicum	97.09
Campylobacter showae	100.00
Cylindrospermopsis raciborskii	98.40
Campylobacter gracilis	100.00
Vibrio mimicus	97.74
Parachlamydia acanthamoebae	99.61
Vibrio metschnikovii	97.68
Vibrio furnissii	98.58
Vibrio metoecus	97.31
Vibrio orientalis	100.00
Pseudoleptotrichia goodfellowii	98.63
Grimontia hollisae	99.49
Neisseria elongata	97.54
Photobacterium damselae	97.98
Serratia plymuthica	98.39
Peptoniphilus lacrimalis	98.47
Hoylesella timonensis	96.48
Prevotella bivia	99.17
Prevotella amnii	98.72
Peptostreptococcus anaerobius	99.24
Ethanoligenens harbinense	100.00
Bacteroides xylanisolvens	97.77
Turicibacter sanguinis	99.74
Parageobacillus thermoglucosidasius	99.53
Aerococcus viridans	99.40
Lactobacillus amylolyticus	99.49
Methylosinus trichosporium	99.98
Alicycliphilus denitrificans	97.55
Prevotella bryantii	99.36
Corynebacterium variabile	98.65
Ruminococcus albus	98.71
Prevotella disiens	99.00
Veillonella atypica	97.34
Leuconostoc lactis	97.20
Limosilactobacillus oris	97.15
Streptococcus downei	99.66
Streptococcus vestibularis	97.89
Clostridium cellulovorans	100.00
Gimesia maris	98.65
Vibrio mediterranei	98.48
Borreliella spielmanii	98.82
Brucella intermedia	98.36
Lactobacillus amylovorus	97.72
Riemerella anatipestifer	98.73
Eremococcus coleocola	99.18
Corynebacterium bovis	98.97
Dialister micraerophilus	98.39
Streptococcus pseudoporcinus	98.74
Porphyromonas asaccharolytica	98.20
Ligilactobacillus animalis	99.02
Listeria innocua	98.54
Listeria ivanovii	99.69
Listeria seeligeri	97.31
Streptococcus anginosus	95.57
Mycolicibacterium gilvum	98.98
Companilactobacillus farciminis	98.74
Acetivibrio thermocellus	99.70
Fructobacillus fructosus	99.02
Leuconostoc pseudomesenteroides	98.57
Hoylesella oralis	99.29
Aggregatibacter segnis	96.48
Campylobacter upsaliensis	96.40
Enterococcus italicus	99.23
Mobiluncus holmesii	100.00
Fructilactobacillus fructivorans	98.86
Gemella morbillorum	97.99
Bilophila wadsworthia	98.83
Taylorella equigenitalis	99.72
Staphylococcus pseudintermedius	99.45
Achromobacter xylosoxidans	98.81
Desulfurococcus mucosus	99.83
Lautropia mirabilis	96.83
Streptococcus australis	96.01
Serratia symbiotica	98.56
Sutterella wadsworthensis	98.40
Coprobacillus cateniformis	99.34
Solobacterium moorei	98.21
Mycoplasma haemofelis	97.19
Treponema phagedenis	99.58
Selenomonas artemidis	97.28
Haladaptatus paucihalophilus	100.00
Streptococcus equinus	97.42
Streptococcus infantis	96.58
Helicobacter suis	99.67
Rahnella aceris	99.23
Streptococcus cristatus	96.16
Streptococcus porcinus	98.41
Streptococcus criceti	100.00
Streptococcus macacae	100.00
Streptococcus urinalis	99.99
Weeksella virosa	99.89
[Clostridium] symbiosum	99.25
Desulfotomaculum nigrificans	99.30
Rubrivivax benzoatilyticus	99.99
Odoribacter splanchnicus	99.19
Kingella denitrificans	97.90
Streptococcus sanguinis	97.85
Acinetobacter pittii	97.33
Haemophilus parainfluenzae	97.37
Anaerococcus hydrogenalis	97.44
Prevotella denticola	98.40
Treponema denticola	97.51
Clostridium acetobutylicum	99.89
Chlamydia psittaci	99.61
Xanthomonas vesicatoria	99.22
Xanthomonas perforans	99.83
Xanthomonas hortorum	99.12
Ruegeria conchae	97.37
Novosphingobium nitrogenifigens	100.00
Agrobacterium fabacearum	98.73
Acetobacter aceti	98.68
Bordetella pertussis	99.87
Weissella cibaria	98.29
Saccharopolyspora spinosa	99.86
Burkholderia gladioli	98.55
Pseudomonas brassicacearum	99.68
Neisseria bacilliformis	98.73
Haemophilus aegyptius	99.35
Rhodopirellula baltica	98.00
Vibrio rotiferianus	97.26
Vibrio coralliilyticus	97.13
Bacillus amyloliquefaciens	99.23
Francisella hispaniensis	98.92
Bacteroides clarus	99.04
Bordetella bronchiseptica	98.91
Bordetella parapertussis	99.99
Corynebacterium diphtheriae	98.39
Mycoplasmopsis pulmonis	99.47
Tropheryma whipplei	99.34
Wolinella succinogenes	99.58
Photorhabdus laumondii	99.51
Aeromonas salmonicida	98.98
Photorhabdus asymbiotica	100.00
Acinetobacter oleivorans	97.12
Amycolatopsis mediterranei	99.99
Leuconostoc gasicomitatum	99.29
Halalkalicoccus jeotgali	100.00
Acidiphilium multivorum	99.48
Mycoplasma suis	97.70
Paracoccus denitrificans	99.80
Brevundimonas diminuta	97.98
Aeromonas veronii	96.50
Micromonospora maris	100.00
Acidovorax radicis	100.00
Pseudomonas mendocina	98.23
Aequoribacter fuscus	100.00
Gemella sanguinis	97.06
Aeromonas caviae	98.00
Gallibacterium anatis	97.52
Ruminococcus champanellensis	98.88
Geobacter sulfurreducens	99.22
Alistipes shahii	99.04
Faecalitalea cylindroides	98.92
Anaerostipes hadrus	98.77
Enterobacter hormaechei	99.20
Staphylococcus warneri	99.31
Lentilactobacillus buchneri	99.79
Photobacterium leiognathi	97.42
Moorena producens	100.00
Lactococcus garvieae	98.49
Pseudoalteromonas distincta	98.02
Desulfocurvibacter africanus	97.67
Cellulomonas fimi	100.00
Tepidanaerobacter acetatoxydans	98.03
Paenibacillus elgii	97.83
Kingella kingae	98.49
Dysgonomonas mossii	100.00
Streptococcus parauberis	99.14
Corynebacterium nuruki	99.57
Kocuria rhizophila	97.74
Lactobacillus kefiranofaciens	99.79
Corynebacterium ulcerans	98.61
Klebsiella aerogenes	98.62
Halorhabdus tiamatea	99.99
Leptospira santarosai	98.80
Leptospira licerasiae	99.54
Vibrio anguillarum	98.71
Paenibacillus polymyxa	98.67
Weizmannia coagulans	99.08
Hallella multisaccharivorax	99.99
Caldalkalibacillus thermarum	98.30
Acidovorax oryzae	98.31
Corallococcus macrosporus	98.61
Mycoplasmopsis bovis	98.16
Sinorhizobium fredii	98.81
Weissella koreensis	99.37
Sulfobacillus acidophilus	99.99
Thermophagus xiamenensis	99.91
Prevotella dentalis	99.45
Prevotella nigrescens	98.45
Prevotella pallens	98.47
Marinobacterium stanieri	96.43
Croceivirga radicis	98.23
Pantoea agglomerans	98.49
Capnocytophaga canimorsus	98.49
Neisseria macacae	99.95
Cutibacterium namnetense	99.46
Mycoplasmopsis anatis	98.33
Vibrio paracholerae	98.03
Avibacterium paragallinarum	97.53
Streptococcus pseudopneumoniae	97.78
